system   D            wsystem.c:583  maybe_parent_dir                 [   0.02415] Also searching d:\student data\documents\visual studio 2010\Projects\FighterGame\
display  D   display_settings.c:191  debug_display_settings           [   0.30923] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.30925] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.30926] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.30927] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.30928] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.30929] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.30930] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.30931] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.30932] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.30933] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.30936] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.31003] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.31006] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.34795] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.51465] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.51468] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.51471] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.51476] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.51478] Returning d3d_display: 001F5320
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.51479] al_display=001F5320
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.51480] al_display->vt=001F1DB0
dtor     D               dtor.c:184  _al_register_destructor          [   0.51517] added dtor for object 001FE5A0, func 534C27CF
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55016] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55019] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55020] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55022] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55024] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55025] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55027] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55028] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55030] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.55032] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.55033] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.55035] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.55037] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.55101] added dtor for object 001FFA00, func 534C25BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.56902] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.56910] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57886] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57889] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57890] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57891] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57892] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57893] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57894] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57895] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.57896] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.57897] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.57898] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.57899] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.57900] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.57922] added dtor for object 001FFB60, func 534C25BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.58331] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.58336] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.58643] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.58647] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.58719] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.58723] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:114  _al_run_destructors              [   9.95571] calling dtor for object 001FFB60, func 534C25BD
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.95577] removed dtor for object 001FFB60
